title,year,tags,type_of_document,origin_of_document,caption,authors_of_document,collections,url
Charte éthique de l'entreprise XXII,2022,"[ ""William Eldin"" ]",charte,XXII (site web),"Charte éthique de XXII, entreprise française de vision par ordinateur",XXII,"[ ""3.5. Justifier les projets d’IA "" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_173850-b04
Projet ANAIS : Maîtriser notre espace maritime,2019,"[ ""Frédéric Bardolle"" ]",présentation (projet),Site beta.gouv.fr,"Présentation du projet ""Analyse des Incohérences de Situation maritime"" (ANAIS) porté par le Ministère des Armées, notamment au sein de La Fabrique Numérique Défense Connect",Ministère des Armées,"[ ""3.5. Justifier les projets d’IA "" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_170035-b7w
La Grande Annotation. Donnons du sens au grand débat,2019,"[ ""Frédéric Bardolle"" ]",présentation (projet),"Site du projet ""La Grande Annotation""","Présentation du projet ""La Grande Annotation"", qui vise à annoter les réponses recueillies dans le cadre du Grand Débat",Collectif,"[ ""3.5. Justifier les projets d’IA "" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_170337-unn
Tweet | critique des Start-up d'état,2021,"[ ""Frédéric Bardolle"", ""Émile Marzolf"" ]",tweet,Twitter,,Design non éthique,"[ ""3.5. Justifier les projets d’IA "" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_135152-ohy
Questionnements éthiques des data-scientistes,2021,"[ ""Émile Marzolf"", ""Frédéric Bardolle"", ""Romain Boucher"" ]",tweet,Twitter,,Emile Marzolf,"[ ""3.5. Justifier les projets d’IA "" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_150452-qry
Accélérateur d'initiatives citoyennes,2022,"[ ""Hubert Guillaud"" ]",communiqué,https://citoyens.transformation.gouv.fr/,"L'Accélérateur d'Initiatives Citoyennes Le service public augmenté | ""Avec l’Accélérateur d’Initiatives Citoyennes, l’administration offre sa force de frappe aux projets citoyens d’utilité publique pour en accélérer le développement et la promotion."" Le programme d'accélération vise ainsi à : ● Favoriser l’émergence d’initiatives citoyennes d’intérêt général et les rendre visibles ● Rassembler et faciliter l’accès aux ressources, soutiens et à l’expertise que les pouvoirs publics peuvent fournir ● Mettre en place les conditions et leviers nécessaires pour accélérer le changement d’échelle des projets et leur déploiement ● Développer les collaborations et synergies entre la société civile et les pouvoirs publics et rassembler les administrations et les agents autour de projets communs. Annoncé par le Président de la République et lancé par la Ministre de la Transformation et de la Fonction publiques le 17 décembre 2021, le dispositif est porté par Etalab à la direction interministérielle du numérique en partenariat avec la direction interministérielle de la transformation publique.",DINUM,"[ ""3.5. Justifier les projets d’IA "", ""0. Des modes de participation à l'IA"", ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_221258-5by
Portefeuille projets Lab IA,2022,"[ ""Émile Marzolf"", ""Romain Boucher"", ""PA Chevalier"", ""Hubert Guillaud"" ]",portfolio,Etalab (site web),Lauréats des Appels à Manifestations d'Intérêts 2019 et 2020 du LabIA d'Etalab.,,"[ ""3.5. Justifier les projets d’IA "", ""1.1. Définir l'IA"", ""2.5. Instrumenter l'action publique"", ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_231201-4vn
Charte éthique de l'UNESCO,2021,"[ ""Hugo Ruggieri"", ""Célia Zolynski"" ]",charte,UNESCO,,UNESCO,"[ ""3.5. Justifier les projets d’IA "", ""2.4. Réguler l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_133147-y9s
Entretien avec le directeur du secteur public chez AWS France,2020,"[ ""Émile Marzolf"" ]",article de presse,Acteurs Publics,,Emile Marzolf,"[ ""3.5. Justifier les projets d’IA "", ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_132854-j3n
Liste des cabinets chargés de conseiller l'état (2023),2023,"[ ""Émile Marzolf"" ]",article de presse,Acteurs Publics,,Emile Marzolf,"[ ""3.5. Justifier les projets d’IA "", ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_160130-647
Les systèmes d’information de la DGFiP et de la DGDDI,2019,"[ ""Damien Robinet"" ]",rapport,Cour des comptes,"La Cour constate que la DGFiP et la DGDDI disposent de vastes SI gérés avec sérieux et fiabilité, mais l’ancienneté de certains matériels et applications limite leurs possibilités d’évolution. La capacité de ces directions à amplifier leur transformation numérique est en outre également contrainte par l’existence de faiblesses structurelles importantes. Le programme Action Publique 2022 doit aujourd’hui être mis à profit pour accélérer sensiblement la transition numérique des deux directions afin d’améliorer le service rendu et de réaliser des économies supplémentaires.",,"[ ""3.5. Justifier les projets d’IA "", ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20221117_134128-xr6
JO de Paris et reconnaissance faciale,2021,"[ ""Cécile Crichton"" ]",article de presse,PresseCritron (site),JO de Paris 2021 : la France renonce à utiliser la reconnaissance faciale.,Jean-Yves Alric,"[ ""3.5. Justifier les projets d’IA "", ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220530_154204-rfs
Projets de l'association Data For Good,2022,"[ ""Frédéric Bardolle"" ]",portfolio,Data For Good,"Projets de l'association Data For Good Data For Good, une association créée en 2014 qui rassemble une communauté de volontaires tech (Data, Dev, Designers) souhaitant mettre leurs compétences à profit d'associations et d'ONG et de s'engager pour l'intérêt général.",,"[ ""3.5. Justifier les projets d’IA "", ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20221024_124819-54k
Présentation d'AIGLE sur le site du Lab IA,2019,"[ ""PA Chevalier"", ""Romain Boucher"" ]",présentation (projet),Site d'Etalab,"Présentation du projet Aigle, dédié à la détection d'irrégularités d'occupation du sol et accompagné par le Lab IA",Lab IA & DITP,"[ ""3.5. Justifier les projets d’IA "", ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_171534-d2v
Profil LinkedIn d'Emmanuel Goffi,2022,"[ ""William Eldin"" ]",profil,LinkedIn,"Profil LinkedIn d'Emmanuel Goffi, ancien membre du comité d'éthique de l'entreprise XXII",Emmanuel Goffi,"[ ""3.5. Justifier les projets d’IA "", ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_173711-i63
Article sur les profils des EIG,2021,"[ ""Romain Boucher"", ""Émile Marzolf"" ]",article de presse,Les Echos,Ils ont quitté le secteur de la tech pour entreprendre dans le public. Transformer l'administration de l'intérieur à l'aide du numérique et des données.,Chloé Marriault,"[ ""3.5. Justifier les projets d’IA "", ""3.4. Travailler avec l'IA"", ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230702_160408-aly
Le retour des mouchard,2021,"[ ""Marie Lechner"" ]",article de blog,Technopolice,"Article de Technopolice sur l'expérimentation, à Orléans, consistant à équiper quatre caméras de vidéosurveillance de micros détecteurs de sons « anormaux », en partenariat avec l’entreprise Sensivic.",Alouette,"[ ""4.1. Prises, emprises, déprises, reprises"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_164311-oih
Pourquoi les réseaux sociaux ne traduisent pas forcément la réalité,2022,"[ ""Lucie Ronfaut"" ]",article de presse,Huffington Post,Article du Huffington Post sur le contrôle algorithmique des réseaux sociaux.,Coraline Mercier,"[ ""4.1. Prises, emprises, déprises, reprises"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_164810-hkr
La valeur des émotions : quel régime pour le « capitalisme mental » ?,2022,"[ ""Célia Zolynski"" ]",article scientifique,Mélanges en l’honneur (Dalloz),"Article sur le naissant capitalisme des émotions et ou plus largement des velléités de valorisation d’une partie des activités mentales des individus. Cette hypothèse se fonde sur deux évolutions très contemporaines : l’exploitation de nos émotions, jusqu’aux plus intimes, serait aujourd’hui permise via divers procédés techniques, parfois réunis sous l’appellation d’« emotion AI » ou d’« affective computing.""","Judith Rochfeld, Célia Zolynski","[ ""4.1. Prises, emprises, déprises, reprises"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_161400-t1o
Lutherie Urbaine 9.3,2001,"[ ""Hugo Scurto"" ]",association,Facebook,Association pour fabrication d'instruments de musique,Lutherie Urbaine 93,"[ ""4.1. Prises, emprises, déprises, reprises"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_163703-kl3
Avis du Comité National Pilote d'Ethique du Numérique,2021,"[ ""Célia Zolynski"" ]",avis,CNPEN,Avis sur les enjeux d'éthique des agents conversationnels après saisine par le 1er ministre,,"[ ""4.1. Prises, emprises, déprises, reprises"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_161045-p0m
Résistances numériques,2017,"[ ""Marie Lechner"" ]",exposition,Jeu de Paume,Exposition sur les résistances numériques présentée au Jeu de Paume,Marie Lechner,"[ ""4.1. Prises, emprises, déprises, reprises"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230702_165427-pjj
Présentation d'Anthony Masure sur le design de l'attention,2018,"[ ""Hubert Guillaud"" ]",slides,,Diaporama de la présentation d'Anthony Masure à l'Ecole Nationale Supérieure de Création Industrielle reprenant des perspectives critiques sur le design de l'attention.,Anthony Masure,"[ ""4.1. Prises, emprises, déprises, reprises"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220606_161904-sk1
Approche Diffractive du prototypage avec du machine learning,2021,"[ ""Hugo Scurto"" ]",diagramme,,Visualisation d'une pratique diffractive d'apprentissage machine.,"Hugo Scurto, Baptiste Caramiaux, Frédéric Bevilacqua","[ ""4.1. Prises, emprises, déprises, reprises"", ""0. Des modes de participation à l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_162838-zki
"La Haine de la démocratie, Jacques Rancière",2005,"[ ""Dominique Cardon"" ]",livre,La Fabrique,"Livre du philosophe Jacques Rancière à propos de la haine de la démocratie, entendue comme ""gouvernement de tous""",Jacques Rancière,"[ ""4.1. Prises, emprises, déprises, reprises"", ""0. Des modes de participation à l'IA"", ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220531_104458-hq3
Frances Haugen Lanceuse d'alerte,2021,"[ ""Célia Zolynski"", ""Lucie Ronfaut"" ]",article de presse,New York Times,,"Satariano, Isaac","[ ""4.1. Prises, emprises, déprises, reprises"", ""2.1. Performer le social"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230629_120235-w4e
Reshaping our digital interactions,2022,"[ ""RYBN"", ""Félix Tréguer"", ""Marie Lechner"" ]",programme,EUR ArTEC,"Symposium - À l'ère de ce que Gilles Deleuze a appelé les « sociétés de contrôle » – gouvernées aujourd’hui à la fois par la prédictibilité algorithmique, les nouvelles formes de travail numérique ou l'« économie de l’attention » – quelles stratégies sont explorées par des artistes, des chercheurs et des usagers, pour produire de nouvelles relations aux dispositifs numériques, réflexives et émancipatrices, plutôt qu'addictives, compulsives et conspirationnistes ? Ce colloque souhaite questionner des enjeux esthétiques, psychiques et politiques de la transformation rapide des technologies et des plateformes numériques, en confrontant différents diagnostiques critiques et en examinant des expérimentations artistiques à l’ère du « post-cinéma » (celle des reconfigurations du médium cinématographique à l'époque des médias connectés).","Nico Baumbach, Judith Michalet","[ ""4.1. Prises, emprises, déprises, reprises"", ""2.1. Performer le social"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230629_134033-rda
Algorithms of Oppression. How Search Engines Reinforce Racism,2018,"[ ""Dominique Cardon"" ]",livre,NYU Press,Livre de Safiya Noble à propos du renforcement du racisme par les moteurs de recherche,Safiya U. Noble,"[ ""4.1. Prises, emprises, déprises, reprises"", ""2.1. Performer le social"", ""0. Des modes de participation à l'IA"", ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220531_102954-f80
Ecologie de l'attention et archéologie des médias,2019,"[ ""RYBN"", ""Célia Zolynski"" ]",livre,Open Edition,,Yves Citton et Estelle Doudet,"[ ""4.1. Prises, emprises, déprises, reprises"", ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230629_142401-y7c
Algorithmes : prévenir l’automatisation des discriminations,2020,"[ ""Hubert Guillaud"" ]",rapport,Défenseur des droits,"Le recours à des algorithmes comme support à la décision privée ou publique n’est pas nouveau : le calcul automatisé de l’appréciation du risque financier par les banques (« scoring ») qui consiste à combiner divers critères tirés des renseignements fournis par les demandeurs de prêt s’est ainsi généralisé depuis des décennies. Mais l’utilisation intensive des algorithmes, grâce à la nouvelle puissance de calcul des ordinateurs et à l’exploitation massive de données désormais très nombreuses, constitue, comme le relève le Conseil d’Etat, un « tournant inédit »1.","Défenseur des droits, CNIL","[ ""4.1. Prises, emprises, déprises, reprises"", ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_143646-qzq
Analyse sur la réglementation de la reconnaissance faciale au sein de l'Union Européenne,2021,"[ ""Cécile Crichton"" ]",rapport,Service de Recherche du Parlement Européen (EPRS),Analyse approfondie sur la réglementation au sein de l'union européenne de la reconnaissance faciale.,"Tambiama Madiega, Hendrik Mildebrath","[ ""4.1. Prises, emprises, déprises, reprises"", ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220530_162259-nmz
Article Dalloz / Analyse sur le Data Governance Act,2020,"[ ""Cécile Crichton"" ]",article (presse spécialisée),Dalloz (site),Gouvernance des données dans l'Union Européenne : la stratégie des petits pas. Article juridique / commentaire sur le Data Governance Act paru dans l'édition Dalloz.,Cécile Crichton,"[ ""4.2. Chaînes de valeur de la donnée"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220530_153615-qpr
Article Dalloz / Analyse sur le Data Act,2022,"[ ""Cécile Crichton"" ]",article (presse spécialisée),Dalloz (site),"Le Data Act : de nouvelles règles de partage des données. Article juridique, commentaire sur le Data Act, proposition de règlement européen.",Jonathan Keller,"[ ""4.2. Chaînes de valeur de la donnée"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220530_154458-v0k
Procès Doctrine contre éditeurs juridiques,2023,"[ ""Hugo Ruggieri"", ""Sumi Saint-Auguste"" ]",article (presse spécialisée),Usine Digitale,Condamnation de cinq éditeurs juridiques qui avaient porté plainte contre Doctrine (start up legaltech) pour procédure abusive. Les éditeurs avaient assigné Doctrine pour concurrence déloyale.,Louis de Briant,"[ ""4.2. Chaînes de valeur de la donnée"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230227_145402-k8m
Plateformes mutualisées de partage de données,2018,"[ ""Émile Marzolf"" ]",article de presse,Acteurs Publics,IA : le gouvernement lance le chantier des plateformes de partage de données. AMI lancé par Mounir Mahjoubi.,Emile Marzolf,"[ ""4.2. Chaînes de valeur de la donnée"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_131850-s3a
Le fisc va rendre totalement publiques ses données sur les prix de l'immobilier des 5 dernières années,2019,"[ ""Damien Robinet"" ]",article de presse,BFM Immo,Article de presse à propos de l'ouverture des données immobilières détenues par le fisc,Jean Louis Dell'Oro,"[ ""4.2. Chaînes de valeur de la donnée"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_152203-ye8
Communiqué ouverture en open data des données foncières,2019,"[ ""PA Chevalier"", ""Damien Robinet"" ]",communiqué,Ministère de l'Action et des Comptes Publics,Gérald DARMANIN annonce la publication et l'ouverture en open data des données foncières à l'occasion d'un hackathon à Bercy.,Cabinet Gérald Darmanin,"[ ""4.2. Chaînes de valeur de la donnée"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_114930-ezi
Présentation Etalab 2013,2013,"[ ""PA Chevalier"" ]",communiqué,Etalab,"Présentation de Etalab en 2013: Au sein du Secrétariat général pour la modernisation de l’action publique, Etalab coordonne l’action des services de l’Etat et de ses établissements publics pour faciliter la réutilisation la plus large possible de leurs informations publiques.",,"[ ""4.2. Chaînes de valeur de la donnée"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_114642-fpf
Circulaire anti-Doctrine,2018,"[ ""Hugo Ruggieri"" ]",décision de justice,Ministère de la Justice,"Circulaire dite ""Doctrine"" visant à préciser les conditions de délivrance de copie de décisions de justice par les greffes judiciaires aux tiers à l'instance.",La Garde des sceaux,"[ ""4.2. Chaînes de valeur de la donnée"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_161034-gsd
Open Data décisions de justice - interface du Conseil d'État,2022,"[ ""Cécile Crichton"", ""Hugo Ruggieri"", ""Sumi Saint-Auguste"" ]",interface,Conseil d'état (site),Ariane Web. Interface de consultation des décisions de justice du conseil d'état.,Conseil d'état,"[ ""4.2. Chaînes de valeur de la donnée"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_111330-9gy
France Cadastre,2022,"[ ""Damien Robinet"" ]",interface,France Cadastre,Page d'accueil du site marchand France Cadastre,,"[ ""4.2. Chaînes de valeur de la donnée"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_225007-89q
CamemBERT - Almanach Inria,2022,"[ ""PA Chevalier"" ]",présentation (projet),ALMAnaCH (Inria),Site web du modèle de langue neuronal du français de type BERT développé par l'équipe ALMAnaCH (Inria),,"[ ""4.2. Chaînes de valeur de la donnée"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_122537-1yy
Atelier de Design Fiction en droit,2021,"[ ""Sumi Saint-Auguste"" ]",programme,Les rendez-vous transformations du droit,Scénarios de réutilisation de l'open data des décisions de justice. Atelier dans le cadre des rendez-vous transformations du droit 2021 proposé par Open Law et Sumi Saint Auguste. Inspiré du travail mené en Legal Design.,Open Law,"[ ""4.2. Chaînes de valeur de la donnée"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_220843-60d
La plateforme d'une ville | LINC,2017,"[ ""Hugo Ruggieri"" ]",rapport,CNIL,"Voir chapitre : ""engager un rééquilibrage public/privé par les données."" Comment permettre le partage avec des acteurs publics de données collectées et exploitées par des acteurs privés, mais qui auraient une forte valeur ajoutée pour des finalités d’intérêt général, dans le respect des droits des entreprises en question, ainsi que des droits et libertés des personnes concernées? C’est une question à laquelle le droit et les politiques publiques essayent aujourd’hui de répondre. Comme décrit dans les parties précédentes de ce cahier, les nouveaux services de la ville numérique s’appuient de plus en plus sur des données personnelles, collectées et traitées pour un service commercial par des acteurs privés. Ces données qui n’entrent pas dans le périmètre organique du Service public (régie directe, concession, …) ont cepen- dant une interaction forte avec les enjeux de service public, voire sont précieuses pour remplir des missions de service public",LINC,"[ ""4.2. Chaînes de valeur de la donnée"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230704_121618-jdb
Interhop | Pour des communs en santé et des données au service des patients,2019,"[ ""Hugo Scurto"", ""Hubert Guillaud"", ""Célia Zolynski"" ]",article de blog,Interhop,"Association InterHop.org regroupe des militants des logiciels libres et d’une utilisation auto-gérée des données de santé à l’échelle locale. Protégons nos données de santé Les données massives - ou big data - sont l’or d’aujourd’hui, les géants du numérique l’ont bien compris et deviennent des acteurs puissants dans le marché de la donnée de santé. En effet ils mettent en place des plateformes de stockage - ou d'hébergement - peu chères et faciles d'utilisation. Les scandales récents nous font pourtant douter de leurs intentions et de leur méthodologie d’utilisation de ce trésor. Restons maître.sse.s de nos données de santé et construisons ensemble une alternative sûre et adaptée. Nous y gagnerons en sécurité, en autonomie et en savoir.",Interhop,"[ ""4.2. Chaînes de valeur de la donnée"", ""0. Des modes de participation à l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230704_101609-6cw
Tweet d'Hubert Guillaud sur Aurélie Jean,2021,"[ ""Hubert Guillaud"" ]",tweet,Twitter,tweet critique sur la position d'Aurélie Jean contre la publication des algorithmes privés.,Hubert Guillaud,"[ ""4.2. Chaînes de valeur de la donnée"", ""0. Des modes de participation à l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220606_165727-ofh
Glossaire Droit et IA d'Open Law,2022,"[ ""Cécile Crichton"", ""Sumi Saint-Auguste"" ]",présentation (projet),Agorasso,"Intelligence Artificielle et Droit : un Glossaire. Elaboration d'une ressource de type glossaire pour les professionnels du droit, produite par Open Law (association).",Open Law,"[ ""4.2. Chaînes de valeur de la donnée"", ""1.1. Définir l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220530_151704-wkl
L'âge du capitalisme de surveillance | Shoshana Zuboff,2018,"[ ""RYBN"" ]",livre,,The fight for a human future at the new frontier of power,Shoshana Zuboff,"[ ""4.2. Chaînes de valeur de la donnée"", ""1.4. Écologiser l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230628_154643-rq2
La base nationale des limitations de vitesse accuse du retard,2018,"[ ""William Eldin"" ]",article de presse,NextInpact,Défaut de production de l'open data sur les limitations de vitesse.,Xavier Berne,"[ ""4.2. Chaînes de valeur de la donnée"", ""2.1. Performer le social"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220610_131016-ej4
Une politique numérique de gauche est-elle possible ?,2021,"[ ""Hubert Guillaud"" ]",essai,Agir par la culture (webmag),"Entretien avec Hubert Guillaud sur la pos­si­bi­li­té d’une poli­tique publique (pro­gres­siste) du numé­rique. Paru dans ""Agir par la culture"", magazine politique et culturel.",Aurélien Berthier,"[ ""4.2. Chaînes de valeur de la donnée"", ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220606_205154-axk
Mission Bothorel,2020,"[ ""Émile Marzolf"" ]",rapport,,Recommandations pour une politique publique de la donnée.,,"[ ""4.2. Chaînes de valeur de la donnée"", ""2.4. Réguler l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220613_111508-69c
Intelligence artificielle et action publique - Etude du Conseil d'état,2022,"[ ""PA Chevalier"" ]",rapport,Conseil d'état,"Etude sur l'IA et l'action publique, réalisée à la demande du premier ministre, adoptée le 31/03/2022.",Conseil d'état,"[ ""4.2. Chaînes de valeur de la donnée"", ""2.4. Réguler l’IA"", ""2.5. Instrumenter l'action publique"", ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220912_142245-vu8
Mise en demeure de Clearview AI par la CNIL,2021,"[ ""Cécile Crichton"" ]",communiqué,CNIL,Communiqué de la CNIL sur la mise en demeure de Clearview AI. Reconnaissance faciale : la CNIL met en demeure CLEARVIEW AI de cesser la réutilisation de photographies accessibles sur Internet.,CNIL,"[ ""4.2. Chaînes de valeur de la donnée"", ""2.4. Réguler l’IA"", ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220530_161227-8m0
Digital Markets Act (DMA),2021,"[ ""Célia Zolynski"", ""Cécile Crichton"", ""Sumi Saint-Auguste"" ]",texte législatif,Commission Européenne,Proposition législative de la Commission européenne visant à imposer des obligations aux plateformes et à réguler la concurrence,,"[ ""4.2. Chaînes de valeur de la donnée"", ""2.4. Réguler l’IA"", ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_095952-w3l
Le gouvernement met le Health Data Hub en pause,2022,"[ ""Hubert Guillaud"" ]",article de presse,Monde Informatique,article du Monde Informatiques sur le retrait de la demande d'autorisation auprès de la CNIL au Health Data Hub pour l'hébergement des données de santé.,Jacques Cheminat,"[ ""4.2. Chaînes de valeur de la donnée"", ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220606_201412-r71
« Nous ne sommes pas pieds et poings liés à Microsoft » interview de Stéphanie Combes,2020,"[ ""Émile Marzolf"" ]",article de presse,Le Point,"Interview de la directrice du Health Data Hub, Stéphanie Combes, parue dans Le Point, qui répond aux inquiétudes liées à l'hébergement des données de santé.",Guillaume Grallet,"[ ""4.2. Chaînes de valeur de la donnée"", ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220606_203753-hrc
Pseudonymisation par l'IA - guide pratique,2022,"[ ""Sumi Saint-Auguste"", ""Hugo Ruggieri"" ]",guide,guides.etalab,"Guide pratique / documentation du processus de pseudonymisation (formater les données annotées, tokeniser le texte, entraîner son modèle, valider ses résultats...)",Etalab,"[ ""4.2. Chaînes de valeur de la donnée"", ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_215708-n03
Feuille de route 2020-2022 du Ministère de l'Economie et des Finances,2021,"[ ""Hubert Guillaud"" ]",stratégie,,"Feuille de route ministérielle 2020/2022 qui dresse 25 actions concrètes pour ""faire de la donnée un actif stratégique de l'économie, des finances et de la relance"".",MEFR,"[ ""4.2. Chaînes de valeur de la donnée"", ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220606_155304-spd
Loi Lemaire pour une République Numérique,2016,"[ ""Cécile Crichton"", ""Célia Zolynski"", ""Hugo Ruggieri"", ""Sumi Saint-Auguste"", ""PA Chevalier"" ]",texte législatif,Légifrance,"Loi 2016-1321 pour une République Numérique, dite loi Lemaire.",Assemblée Nationale,"[ ""4.2. Chaînes de valeur de la donnée"", ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220531_214734-vkm
Décret de création d'Etalab,2011,"[ ""PA Chevalier"" ]",texte législatif,LegiFrance,"Décret portant création d'une mission ""Etalab"" chargée de la création d'un portail unique interministériel des données publiques. Mission de rassembler et à mettre à disposition librement l'ensemble des informations publiques de l'Etat et apporter son appui pour faciliter la réutilisation la plus large possible des informations publiques des administrations",,"[ ""4.2. Chaînes de valeur de la donnée"", ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_104825-00r
"Guichet d'expérimentation pour drône, IA et RA",2021,"[ ""Émile Marzolf"" ]",article de presse,Acteurs Publics,"Depuis l'ouverture, en janvier dernier, du guichet ""Innovation contin- ue"", qui vise à améliorer les services publics par l'expérimentation de tech- nologies non matures ou de nouveaux cas d'usage des dernières technologies, 25 projets ont ainsi été financés à hau- teur de 48 000 euros chacun, soit pour plus d'1,2 million d'euros au total.",Emile Marzolf,"[ ""4.2. Chaînes de valeur de la donnée"", ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_132403-cif
